# Program:featureCounts v1.6.1; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "ID" "-O" "-s" "1" "-a" "Arabidopsis_thaliana.TAIR10.40.gff3" "-o" "results/KO2_feature.out" "results/KO2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/KO2_Aligned.sortedByCoord.out.bam
gene:AT2G05630	2	2082894	2084905	-	2012	115
gene:AT2G05632	2	2087145	2088183	-	1039	9
gene:AT2G05635	2	2089484	2091016	+	1533	8
gene:AT2G05642	2	2098087	2101167	-	3081	0
gene:AT2G05645	2	2101497	2102111	-	615	0
gene:AT2G05655	2	2119187	2121254	+	2068	1
gene:AT2G05710	2	2141329	2146678	+	5350	4919
gene:AT2G05720	2	2147192	2148215	+	1024	0
gene:AT2G05752	2	2169305	2170528	-	1224	0
gene:AT2G05755	2	2170760	2173943	+	3184	57
gene:AT2G05753	2	2171390	2171936	-	547	25
gene:AT2G05760	2	2180755	2183904	+	3150	195
gene:AT2G05786	2	2198271	2198405	-	135	0
gene:AT2G05790	2	2199151	2201603	+	2453	1017
gene:AT2G05810	2	2213960	2217159	-	3200	116
gene:AT2G05830	2	2229539	2232149	+	2611	380
gene:AT2G05840	2	2234019	2236470	+	2452	566
gene:AT2G05850	2	2242545	2244851	-	2307	0
gene:AT2G05900	2	2256970	2257908	+	939	0
gene:AT2G05910	2	2258281	2259633	-	1353	280
gene:AT2G05915	2	2263816	2264265	+	450	1
gene:AT2G05920	2	2269315	2272452	-	3138	2173
gene:AT2G05940	2	2287238	2289636	-	2399	1663
gene:AT2G05970	2	2308651	2309784	-	1134	0
gene:AT2G05990	2	2322215	2325197	+	2983	665
gene:AT2G06000	2	2327253	2329873	-	2621	70
gene:AT2G06005	2	2332317	2336257	+	3941	57
gene:AT2G06010	2	2336702	2338902	+	2201	79
gene:AT2G06020	2	2342535	2346207	+	3673	0
gene:AT2G06025	2	2348059	2352174	+	4116	148
gene:AT2G06040	2	2352145	2355597	-	3453	84
gene:AT2G06050	2	2359114	2362375	-	3262	1179
gene:AT2G06090	2	2371573	2372050	-	478	0
gene:AT2G06095	2	2373522	2374745	+	1224	0
gene:AT2G06105	2	2395013	2398395	+	3383	0
gene:AT2G06166	2	2411005	2411656	+	652	0
gene:AT2G06200	2	2426176	2427355	+	1180	0
gene:AT2G06210	2	2428903	2436687	-	7785	399
gene:AT2G06255	2	2457573	2459940	+	2368	3
gene:AT2G06265	2	2529780	2530255	-	476	0
gene:AT2G06420	2	2538743	2540365	+	1623	0
gene:AT2G06425	2	2571928	2572743	-	816	0
gene:AT2G06500	2	2580718	2583223	-	2506	0
gene:AT2G06510	2	2584984	2587686	+	2703	102
gene:AT2G06520	2	2587729	2588448	-	720	1066
gene:AT2G06530	2	2588523	2590531	-	2009	596
gene:AT2G06541	2	2598222	2600326	-	2105	0
gene:AT2G06555	2	2604148	2604927	-	780	0
gene:AT2G06565	2	2621756	2622063	+	308	0
gene:AT2G06570	2	2622603	2624902	-	2300	0
gene:AT2G06645	2	2647991	2649647	-	1657	0
gene:AT2G06667	2	2660527	2660715	-	189	0
gene:AT2G06675	2	2705042	2705476	-	435	0
gene:AT2G06845	2	2753443	2756008	+	2566	0
gene:AT2G06850	2	2763449	2765743	+	2295	989
gene:AT2G06904	2	2806625	2807368	+	744	0
gene:AT2G06906	2	2807415	2807967	-	553	0
gene:AT2G06908	2	2815398	2816349	+	952	0
gene:AT2G06925	2	2842020	2843386	-	1367	17
gene:AT2G06960	2	2867672	2870352	-	2681	0
gene:AT2G06983	2	2888894	2890172	+	1279	0
gene:AT2G06990	2	2894904	2902020	+	7117	420
gene:AT2G07000	2	2901870	2902290	-	421	0
gene:AT2G07020	2	2908473	2911198	-	2726	0
gene:AT2G07040	2	2916416	2919392	+	2977	0
gene:AT2G07050	2	2924360	2930751	+	6392	613
gene:AT2G07110	2	2952610	2953208	-	599	0
gene:AT2G07120	2	2953605	2954722	-	1118	0
gene:AT2G07140	2	2957516	2959851	+	2336	0
gene:AT2G07170	2	2975025	2979266	+	4242	99
gene:AT2G07180	2	2980820	2983657	-	2838	116
gene:AT2G07190	2	2987367	2988945	+	1579	0
gene:AT2G07200	2	2989205	2989878	+	674	0
gene:AT2G07215	2	2996776	2997889	-	1114	0
gene:AT2G07240	2	3007102	3012333	-	5232	0
gene:AT2G07280	2	3026398	3029353	+	2956	0
gene:AT2G07290	2	3029561	3030035	+	475	0
gene:AT2G07310	2	3034797	3036387	-	1591	0
gene:AT2G07340	2	3045523	3046904	+	1382	128
gene:AT2G07360	2	3047252	3057214	-	9963	910
gene:AT2G07440	2	3093821	3094750	-	930	0
gene:AT2G07505	2	3125671	3126173	+	503	0
gene:AT2G07560	2	3169908	3174102	-	4195	0
gene:AT2G07565	2	3187068	3188422	+	1355	0
gene:AT2G07640	2	3220739	3221422	+	684	0
gene:AT2G07771	2	3239693	3240463	-	771	0
gene:AT2G07773	2	3240494	3242263	-	1770	3
gene:AT2G07655	2	3245323	3246203	+	881	3
gene:AT2G07776	2	3246019	3246901	-	883	0
gene:AT2G07749	2	3247003	3249357	+	2355	0
gene:AT2G07777	2	3249396	3251545	-	2150	0
gene:AT2G07671	2	3251566	3252341	-	776	0
gene:AT2G07779	2	3254364	3255815	-	1452	1
gene:AT2G07672	2	3257209	3258528	+	1320	1
gene:AT2G07613	2	3261009	3261453	+	445	0
gene:AT2G07684	2	3262235	3262345	-	111	0
gene:AT2G07617	2	3262523	3262587	-	65	0
gene:AT2G07621	2	3263619	3264412	-	794	6
gene:AT2G07673	2	3266420	3267120	+	701	0
gene:AT2G07674	2	3268932	3269906	+	975	4
gene:AT2G07751	2	3270008	3270364	+	357	0
gene:AT2G07675	2	3270410	3270787	+	378	0
gene:AT2G07676	2	3272619	3272975	+	357	0
gene:AT2G07768	2	3273584	3274154	+	571	0
gene:AT2G07623	2	3276728	3277668	+	941	0
gene:AT2G07678	2	3281097	3283129	+	2033	3
gene:AT2G07669	2	3282787	3283553	+	767	8
gene:AT2G07625	2	3284067	3284616	-	550	0
gene:AT2G07681	2	3287529	3292366	+	4838	1
gene:AT2G07626	2	3296472	3297016	+	545	1
gene:AT2G07627	2	3298498	3298716	-	219	0
gene:AT2G07772	2	3300978	3301804	-	827	0
gene:AT2G07628	2	3301041	3301624	+	584	0
gene:AT2G07774	2	3303766	3304650	-	885	20
gene:AT2G07687	2	3311654	3312651	-	998	3
gene:AT2G07629	2	3312873	3313502	-	630	9
gene:AT2G07631	2	3318248	3319435	+	1188	0
gene:AT2G07632	2	3323573	3323990	-	418	0
gene:AT2G07633	2	3329660	3331324	+	1665	5
gene:AT2G07689	2	3336109	3336753	+	645	0
gene:AT2G07634	2	3338669	3339047	-	379	0
gene:AT2G07691	2	3339740	3340317	-	578	0
gene:AT2G07636	2	3340397	3341060	+	664	0
gene:AT2G07692	2	3340706	3341544	-	839	0
gene:AT2G07637	2	3343332	3344075	+	744	0
gene:AT2G07695	2	3345929	3347826	+	1898	9
gene:AT2G07785	2	3348003	3348904	+	902	4
gene:AT2G07599	2	3348796	3351212	-	2417	11
gene:AT2G07696	2	3351050	3352228	-	1179	0
gene:AT2G07798	2	3357619	3361102	+	3484	12
gene:AT2G07698	2	3361463	3364127	+	2665	27
gene:AT2G07667	2	3364296	3366661	+	2366	18
gene:AT2G07701	2	3371832	3372152	+	321	0
gene:AT2G07702	2	3372595	3373155	+	561	0
gene:AT2G07638	2	3377163	3378213	+	1051	29
gene:AT2G07705	2	3380744	3380944	+	201	0
gene:AT2G07706	2	3381463	3386102	-	4640	3
gene:AT2G07707	2	3386292	3386768	+	477	0
gene:AT2G07708	2	3386851	3388160	+	1310	0
gene:AT2G07641	2	3389612	3390726	-	1115	7
gene:AT2G07642	2	3400797	3400838	+	42	9
gene:AT2G07643	2	3404683	3405417	+	735	8
gene:AT2G07644	2	3405496	3405863	+	368	6
gene:AT2G07713	2	3407218	3407586	+	369	0
gene:AT2G07714	2	3407671	3408506	-	836	2
gene:AT2G07646	2	3408519	3409740	+	1222	0
gene:AT2G07715	2	3410597	3413161	+	2565	41
gene:AT2G07718	2	3424685	3430483	+	5799	4
gene:AT2G07648	2	3431244	3431844	-	601	2
gene:AT2G07719	2	3432137	3433656	-	1520	0
gene:AT2G07721	2	3434312	3435279	-	968	0
gene:AT2G07722	2	3438742	3439161	+	420	3
gene:AT2G07652	2	3440302	3441314	-	1013	2
gene:AT2G07815	2	3443688	3446183	-	2496	0
gene:AT2G07724	2	3446394	3447047	-	654	0
gene:AT2G07725	2	3447398	3449059	+	1662	2
gene:AT2G07727	2	3449534	3452776	+	3243	2
gene:AT2G07728	2	3453686	3456127	+	2442	3
gene:AT2G07654	2	3456747	3457126	+	380	0
gene:AT2G07820	2	3457213	3457479	-	267	0
gene:AT2G07656	2	3458281	3461448	+	3168	7
gene:AT2G07732	2	3468160	3468899	-	740	2
gene:AT2G07734	2	3472305	3473692	-	1388	0
gene:AT2G07825	2	3474282	3474664	-	383	0
gene:AT2G07827	2	3474996	3476845	+	1850	10
gene:AT2G07830	2	3476156	3476278	-	123	6
gene:AT2G07787	2	3476873	3478704	+	1832	18
gene:AT2G07658	2	3477582	3479196	-	1615	18
gene:AT2G07659	2	3481036	3482584	+	1549	2
gene:AT2G07775	2	3483035	3484062	+	1028	8
gene:AT2G07661	2	3484182	3484585	-	404	6
gene:AT2G07806	2	3484627	3489670	+	5044	16
gene:AT2G07738	2	3492339	3492786	-	448	0
gene:AT2G07795	2	3493226	3494382	+	1157	1
gene:AT2G07739	2	3495511	3496398	-	888	20
gene:AT2G07662	2	3497073	3498780	-	1708	72
gene:AT2G07665	2	3500130	3500612	-	483	14
gene:AT2G07835	2	3501553	3502294	-	742	6
gene:AT2G07741	2	3502319	3503476	+	1158	0
gene:AT2G07680	2	3514668	3522658	+	7991	116
gene:AT2G07690	2	3522984	3527500	-	4517	241
gene:AT2G07750	2	3576465	3580525	+	4061	0
gene:AT2G07760	2	3584420	3586278	-	1859	0
gene:AT2G07800	2	3589410	3590008	-	599	0
gene:AT2G07810	2	3593730	3594072	+	343	0
gene:AT2G07981	2	3614986	3617716	+	2731	0
gene:AT2G08986	2	3618058	3626460	+	8403	0
gene:AT2G09388	2	3651156	3652235	+	1080	0
gene:AT2G09838	2	3703304	3703492	-	189	0
gene:AT2G09840	2	3704577	3705594	-	1018	0
gene:AT2G09970	2	3779992	3780691	-	700	0
gene:AT2G09990	2	3781328	3782335	+	1008	305
gene:AT2G10020	2	3797230	3797430	+	201	0
gene:AT2G10025	2	3802330	3803280	-	951	0
gene:AT2G10260	2	3938527	3941240	+	2714	0
gene:AT2G10440	2	4013752	4018046	-	4295	1
gene:AT2G10450	2	4020305	4020773	+	469	1
gene:AT2G10455	2	4069136	4069506	-	371	0
gene:AT2G10535	2	4082851	4083168	+	318	0
gene:AT2G10545	2	4089648	4090671	+	1024	0
gene:AT2G10550	2	4096001	4096920	-	920	0
gene:AT2G10553	2	4100335	4101084	-	750	0
gene:AT2G10556	2	4105464	4106256	+	793	0
gene:AT2G10557	2	4106183	4106356	-	174	0
gene:AT2G10560	2	4109862	4110698	-	837	0
gene:AT2G10602	2	4134895	4135888	+	994	0
gene:AT2G10608	2	4145498	4146239	-	742	0
gene:AT2G10615	2	4228157	4229987	+	1831	0
gene:AT2G10625	2	4295362	4300871	-	5510	1
gene:AT2G10920	2	4301708	4302134	-	427	0
gene:AT2G10930	2	4303281	4304075	-	795	0
gene:AT2G10931	2	4304762	4305887	-	1126	16
gene:AT2G10940	2	4310321	4312162	-	1842	124
gene:AT2G10950	2	4314243	4317882	-	3640	148
gene:AT2G10955	2	4323589	4324032	-	444	0
gene:AT2G10965	2	4323671	4324948	+	1278	0
gene:AT2G10970	2	4332795	4333638	-	844	0
gene:AT2G10975	2	4334959	4335909	+	951	0
gene:AT2G11000	2	4341105	4347974	-	6870	226
gene:AT2G11005	2	4348511	4349577	+	1067	0
gene:AT2G11010	2	4361869	4365919	+	4051	0
gene:AT2G11015	2	4366200	4366640	+	441	0
gene:AT2G11025	2	4393772	4394045	-	274	0
gene:AT2G11035	2	4416920	4419072	+	2153	38
gene:AT2G11045	2	4440614	4441543	+	930	0
gene:AT2G11200	2	4451924	4452388	+	465	0
gene:AT2G11205	2	4458154	4458399	-	246	0
gene:AT2G11215	2	4477776	4477868	+	93	31
gene:AT2G11225	2	4478424	4483467	+	5044	847
gene:AT2G11270	2	4484720	4485568	+	849	1
gene:AT2G11271	2	4485414	4485539	-	126	1
gene:AT2G11405	2	4543175	4543522	+	348	0
gene:AT2G11462	2	4589735	4590378	-	644	0
gene:AT2G11520	2	4618545	4621722	+	3178	283
gene:AT2G11522	2	4622122	4622752	+	631	0
gene:AT2G11570	2	4634251	4635203	-	953	0
gene:AT2G11620	2	4658445	4660777	+	2333	0
gene:AT2G11623	2	4660870	4661415	-	546	0
gene:AT2G11626	2	4661458	4662451	+	994	0
gene:AT2G11773	2	4724036	4724143	-	108	0
gene:AT2G11778	2	4728072	4728239	+	168	0
gene:AT2G11810	2	4743162	4746813	+	3652	0
gene:AT2G11815	2	4757429	4758920	-	1492	1
gene:AT2G11851	2	4785961	4790030	+	4070	0
gene:AT2G11890	2	4802783	4804375	+	1593	249
gene:AT2G11891	2	4804391	4804558	+	168	3
gene:AT2G11910	2	4805480	4807441	-	1962	467
gene:AT2G12170	2	4890067	4891424	-	1358	3
gene:AT2G12190	2	4891642	4893397	-	1756	0
gene:AT2G12200	2	4900613	4900944	+	332	0
gene:AT2G12205	2	4901120	4901343	+	224	0
gene:AT2G12280	2	4922282	4922679	+	398	0
gene:AT2G12290	2	4924100	4924501	-	402	0
gene:AT2G12400	2	5004884	5008442	-	3559	370
gene:AT2G12405	2	5010792	5011590	-	799	0
gene:AT2G12461	2	5049953	5050087	-	135	13
gene:AT2G12462	2	5050434	5051613	-	1180	150
gene:AT2G12465	2	5055415	5055880	-	466	0
gene:AT2G12475	2	5068402	5068918	-	517	0
gene:AT2G12480	2	5069544	5072656	-	3113	0
gene:AT2G12550	2	5114804	5118753	+	3950	81
gene:AT2G12646	2	5166984	5169303	-	2320	0
gene:AT2G12875	2	5289411	5291470	-	2060	0
gene:AT2G12880	2	5291523	5291882	+	360	0
gene:AT2G12900	2	5293897	5295480	+	1584	0
gene:AT2G12905	2	5296364	5296582	+	219	0
gene:AT2G12935	2	5315038	5316041	-	1004	0
gene:AT2G12940	2	5317475	5319090	+	1616	0
gene:AT2G12945	2	5322903	5323624	-	722	0
gene:AT2G13100	2	5389594	5392151	+	2558	163
gene:AT2G13105	2	5411566	5412125	-	560	0
gene:AT2G13125	2	5415891	5416317	+	427	0
gene:AT2G13126	2	5416690	5416872	-	183	0
gene:AT2G13150	2	5437056	5438459	+	1404	0
gene:AT2G13275	2	5508414	5508837	-	424	0
gene:AT2G13290	2	5511562	5513838	+	2277	63
gene:AT2G13295	2	5514094	5514641	-	548	0
gene:AT2G13350	2	5536220	5537951	-	1732	0
gene:AT2G13360	2	5538740	5541479	-	2740	183
gene:AT2G13370	2	5544054	5556560	-	12507	597
gene:AT2G13422	2	5588218	5588322	+	105	0
gene:AT2G13430	2	5590052	5591422	+	1371	0
gene:AT2G13440	2	5592838	5598412	-	5575	191
gene:AT2G13450	2	5598421	5599923	-	1503	0
gene:AT2G13463	2	5609569	5610324	-	756	0
gene:AT2G13500	2	5627936	5629099	+	1164	0
gene:AT2G13510	2	5630001	5631107	-	1107	0
gene:AT2G13540	2	5636884	5643066	+	6183	387
gene:AT2G13542	2	5643169	5643615	-	447	0
gene:AT2G13547	2	5646602	5647423	+	822	0
gene:AT2G13550	2	5648329	5649847	-	1519	9
gene:AT2G13555	2	5649224	5649727	+	504	3
gene:AT2G13560	2	5649928	5655320	+	5393	1188
gene:AT2G13570	2	5655391	5656518	-	1128	0
gene:AT2G13600	2	5671396	5673622	+	2227	26
gene:AT2G13610	2	5673688	5675995	-	2308	9
gene:AT2G13620	2	5677908	5680801	+	2894	0
gene:AT2G13630	2	5684538	5685431	-	894	0
gene:AT2G13640	2	5686136	5687290	-	1155	0
gene:AT2G13650	2	5687316	5690795	-	3480	139
gene:AT2G13660	2	5692097	5693016	-	920	15
gene:AT2G13680	2	5694381	5706442	+	12062	4
gene:AT2G13690	2	5706472	5709017	-	2546	88
gene:AT2G13720	2	5724007	5725248	+	1242	0
gene:AT2G13760	2	5734955	5735805	-	851	0
gene:AT2G13770	2	5736570	5737863	+	1294	0
gene:AT2G13790	2	5741592	5746833	+	5242	418
gene:AT2G13800	2	5753103	5757353	+	4251	110
gene:AT2G13810	2	5768417	5772266	+	3850	0
gene:AT2G13820	2	5774089	5776342	-	2254	237
gene:AT2G13840	2	5788445	5791128	-	2684	65
gene:AT2G13845	2	5798558	5799584	+	1027	0
gene:AT2G13895	2	5829485	5830283	+	799	0
gene:AT2G13900	2	5833039	5835209	+	2171	5
gene:AT2G13905	2	5834414	5834994	-	581	1
gene:AT2G13950	2	5857536	5859249	+	1714	0
gene:AT2G13960	2	5859491	5861311	+	1821	6
gene:AT2G13965	2	5864267	5864614	-	348	44
gene:AT2G13980	2	5869853	5870368	-	516	0
gene:AT2G13985	2	5874638	5875793	-	1156	0
gene:AT2G14000	2	5884600	5885985	-	1386	0
gene:AT2G14045	2	5906420	5908429	+	2010	62
gene:AT2G14050	2	5909100	5914374	+	5275	34
gene:AT2G14060	2	5914414	5916436	-	2023	0
gene:AT2G14070	2	5921881	5923151	+	1271	0
gene:AT2G14080	2	5925119	5929902	+	4784	141
gene:AT2G14095	2	5932383	5933929	-	1547	126
gene:AT2G14100	2	5934483	5936371	-	1889	15
gene:AT2G14110	2	5951823	5953185	+	1363	41
gene:AT2G14120	2	5953940	5960263	-	6324	644
gene:AT2G14160	2	5976253	5976801	-	549	0
gene:AT2G14170	2	5977272	5981899	-	4628	500
gene:AT2G14210	2	6018558	6023863	+	5306	31
gene:AT2G14247	2	6034282	6035375	+	1094	88
gene:AT2G14255	2	6036804	6041097	+	4294	450
gene:AT2G14260	2	6041146	6043974	-	2829	165
gene:AT2G14265	2	6044120	6045141	-	1022	0
gene:AT2G14270	2	6045579	6046045	+	467	0
gene:AT2G14282	2	6049928	6050428	-	501	0
gene:AT2G14285	2	6052332	6053994	-	1663	51
gene:AT2G14288	2	6056038	6056778	-	741	0
gene:AT2G14289	2	6056913	6057020	-	108	0
gene:AT2G14290	2	6057288	6058620	-	1333	38
gene:AT2G14365	2	6088292	6088813	+	522	0
gene:AT2G14378	2	6104752	6105252	-	501	0
gene:AT2G14390	2	6110912	6111918	+	1007	0
gene:AT2G14395	2	6119467	6120748	+	1282	0
gene:AT2G14440	2	6143073	6147419	+	4347	0
gene:AT2G14460	2	6154493	6155166	-	674	71
gene:AT2G14500	2	6166936	6167979	+	1044	0
gene:AT2G14510	2	6170942	6175095	-	4154	0
gene:AT2G14520	2	6181946	6184910	-	2965	46
gene:AT2G14530	2	6187371	6190380	+	3010	52
gene:AT2G14540	2	6197663	6199406	-	1744	0
gene:AT2G14560	2	6213617	6215932	+	2316	9
gene:AT2G14580	2	6225351	6226227	-	877	0
gene:AT2G14610	2	6241640	6242541	-	902	1
gene:AT2G14620	2	6244772	6246279	+	1508	42
gene:AT2G14635	2	6254434	6254900	-	467	0
gene:AT2G14660	2	6272469	6273227	+	759	17
gene:AT2G14670	2	6274606	6276317	-	1712	0
gene:AT2G14680	2	6277802	6283940	+	6139	202
gene:AT2G14690	2	6283801	6286055	-	2255	11
gene:AT2G14692	2	6287289	6287882	+	594	0
gene:AT2G14695	2	6289477	6292620	-	3144	0
gene:AT2G14700	2	6292466	6295726	+	3261	0
gene:AT2G14710	2	6298679	6300150	+	1472	0
gene:AT2G14720	2	6300488	6304445	-	3958	605
gene:AT2G14740	2	6308683	6312726	+	4044	402
gene:AT2G14750	2	6313883	6316047	+	2165	364
gene:AT2G14755	2	6316744	6317587	-	844	0
gene:AT2G14760	2	6321587	6323397	-	1811	0
gene:AT2G14765	2	6351289	6351964	+	676	0
gene:AT2G14775	2	6354785	6356084	+	1300	13
gene:AT2G14800	2	6355993	6356939	+	947	4
gene:AT2G14810	2	6357465	6358470	-	1006	0
gene:AT2G14820	2	6358256	6361528	+	3273	1
gene:AT2G14825	2	6362411	6364093	+	1683	15
gene:AT2G14830	2	6364378	6365818	+	1441	0
gene:AT2G14835	2	6366879	6371126	+	4248	250
gene:AT2G14846	2	6382368	6382810	+	443	0
gene:AT2G14850	2	6385804	6387570	+	1767	39
gene:AT2G14860	2	6387581	6389668	-	2088	31
gene:AT2G14870	2	6391172	6391477	+	306	0
gene:AT2G14880	2	6393310	6395000	-	1691	188
gene:AT2G14890	2	6399405	6401149	+	1745	1919
gene:AT2G14900	2	6404131	6405352	+	1222	8
gene:AT2G14910	2	6406389	6409167	-	2779	267
gene:AT2G14920	2	6418199	6419236	+	1038	0
gene:AT2G14935	2	6431471	6431826	+	356	0
gene:AT2G14945	2	6438504	6439144	-	641	0
gene:AT2G14960	2	6451319	6453797	-	2479	59
gene:AT2G15000	2	6480817	6482425	-	1609	82
gene:AT2G15010	2	6484338	6485213	+	876	0
gene:AT2G15020	2	6491425	6493512	-	2088	0
gene:AT2G15025	2	6501126	6501704	-	579	0
gene:AT2G15029	2	6504070	6504171	-	102	1
gene:AT2G15042	2	6510841	6512641	+	1801	7
gene:AT2G15050	2	6518749	6521549	+	2801	4
gene:AT2G15080	2	6533261	6537002	+	3742	1
gene:AT2G15090	2	6542166	6544118	+	1953	64
gene:AT2G15110	2	6554847	6557168	-	2322	0
gene:AT2G15130	2	6564808	6566006	+	1199	0
gene:AT2G15170	2	6587570	6588321	+	752	0
gene:AT2G15180	2	6588743	6590167	-	1425	0
gene:AT2G15185	2	6590876	6591544	-	669	0
gene:AT2G15220	2	6608561	6609681	+	1121	160
gene:AT2G15230	2	6612480	6615457	+	2978	248
gene:AT2G15240	2	6615456	6619074	-	3619	220
gene:AT2G15260	2	6630528	6634008	+	3481	0
gene:AT2G15270	2	6637831	6639429	+	1599	91
gene:AT2G15280	2	6639973	6642353	+	2381	51
gene:AT2G15290	2	6642300	6644055	-	1756	325
gene:AT2G15300	2	6649115	6652232	+	3118	17
gene:AT2G15310	2	6653663	6655501	+	1839	37
gene:AT2G15318	2	6664649	6665356	+	708	0
gene:AT2G15320	2	6666286	6668046	-	1761	102
gene:AT2G15325	2	6669654	6670381	-	728	0
gene:AT2G15327	2	6671895	6672731	-	837	0
gene:AT2G15340	2	6677225	6677928	+	704	0
gene:AT2G15345	2	6684411	6685069	-	659	0
gene:AT2G15350	2	6688122	6689819	-	1698	1
gene:AT2G15360	2	6694787	6695180	-	394	0
gene:AT2G15370	2	6697918	6699836	-	1919	0
gene:AT2G15390	2	6709116	6711156	-	2041	10
gene:AT2G15400	2	6712895	6714609	+	1715	49
gene:AT2G15420	2	6723948	6728183	-	4236	0
gene:AT2G15430	2	6733534	6735819	+	2286	141
gene:AT2G15440	2	6743528	6744835	-	1308	14
gene:AT2G15450	2	6747536	6749256	+	1721	0
gene:AT2G15460	2	6750934	6752647	+	1714	0
gene:AT2G15470	2	6754330	6756051	+	1722	0
gene:AT2G15480	2	6758430	6763501	+	5072	1537
gene:AT2G15490	2	6761635	6763500	+	1866	939
gene:AT2G15500	2	6763707	6764751	+	1045	0
gene:AT2G15530	2	6772714	6777985	+	5272	240
gene:AT2G15535	2	6778191	6778879	+	689	0
gene:AT2G15560	2	6787866	6790215	-	2350	146
gene:AT2G15570	2	6791104	6792978	-	1875	97
gene:AT2G15580	2	6797111	6798939	+	1829	45
gene:AT2G15590	2	6801803	6802734	+	932	0
gene:AT2G15610	2	6806033	6806764	+	732	0
gene:AT2G15620	2	6810395	6812941	+	2547	1007
gene:AT2G15630	2	6814453	6816568	+	2116	21
gene:AT2G15640	2	6816541	6818358	-	1818	0
gene:AT2G15660	2	6824242	6825576	-	1335	0
gene:AT2G15670	2	6828133	6829621	+	1489	0
gene:AT2G15680	2	6830995	6831641	+	647	33
gene:AT2G15690	2	6830995	6833777	-	2783	269
gene:AT2G15695	2	6833880	6836538	-	2659	145
gene:AT2G15710	2	6842648	6845103	+	2456	0
gene:AT2G15730	2	6849452	6852214	+	2763	47
gene:AT2G15740	2	6856746	6857735	-	990	0
gene:AT2G15760	2	6865610	6867004	-	1395	273
gene:AT2G15770	2	6871257	6872245	-	989	1
gene:AT2G15780	2	6873417	6874784	-	1368	69
gene:AT2G15790	2	6877774	6880898	-	3125	69
gene:AT2G15820	2	6888540	6891409	-	2870	94
gene:AT2G15830	2	6893949	6894685	+	737	8
gene:AT2G15860	2	6905379	6909498	-	4120	238
gene:AT2G15880	2	6917514	6920319	-	2806	124
gene:AT2G15890	2	6920369	6922161	-	1793	872
gene:AT2G15900	2	6927024	6932791	+	5768	267
gene:AT2G15910	2	6932406	6935514	-	3109	101
gene:AT2G15960	2	6947096	6947866	+	771	70
gene:AT2G15970	2	6949851	6951192	+	1342	352
gene:AT2G15980	2	6951349	6952845	-	1497	43
gene:AT2G16005	2	6959092	6960216	-	1125	1
gene:AT2G16015	2	6970352	6970851	+	500	0
gene:AT2G16016	2	6971075	6971330	-	256	0
gene:AT2G16018	2	6972222	6973705	-	1484	0
gene:AT2G16019	2	6973172	6973282	+	111	0
gene:AT2G16020	2	6973356	6973586	+	231	0
gene:AT2G16030	2	6973673	6975007	-	1335	0
gene:AT2G16040	2	6976017	6977683	+	1667	0
gene:AT2G16050	2	6980218	6982132	+	1915	72
gene:AT2G16060	2	6982531	6983777	-	1247	1493
gene:AT2G16070	2	6983846	6985620	-	1775	126
gene:AT2G16090	2	6986830	6990080	-	3251	98
gene:AT2G16120	2	6996727	6998441	-	1715	0
gene:AT2G16130	2	7002172	7004235	+	2064	0
gene:AT2G16190	2	7020474	7021601	-	1128	2
gene:AT2G16200	2	7024607	7025231	+	625	0
gene:AT2G16210	2	7026761	7029175	-	2415	0
gene:AT2G16220	2	7030155	7031378	-	1224	0
gene:AT2G16225	2	7033940	7034317	-	378	0
gene:AT2G16230	2	7035378	7038395	-	3018	0
gene:AT2G16250	2	7039682	7043354	-	3673	116
gene:AT2G16270	2	7045538	7048544	-	3007	50
gene:AT2G16280	2	7050799	7052951	+	2153	137
gene:AT2G16290	2	7058930	7060573	-	1644	0
gene:AT2G16300	2	7061629	7063367	-	1739	0
gene:AT2G16340	2	7073134	7073484	+	351	0
gene:AT2G16365	2	7074119	7079519	+	5401	229
gene:AT2G16360	2	7076713	7077310	-	598	1
gene:AT2G16370	2	7081763	7084865	-	3103	177
gene:AT2G16380	2	7085698	7089248	+	3551	2
gene:AT2G16385	2	7094743	7095824	+	1082	14
gene:AT2G16390	2	7097280	7101351	+	4072	84
gene:AT2G16400	2	7101269	7103928	-	2660	329
gene:AT2G16405	2	7105339	7109089	-	3751	147
gene:AT2G16430	2	7120372	7123079	-	2708	470
gene:AT2G16440	2	7126279	7130729	-	4451	300
gene:AT2G16450	2	7131391	7132803	-	1413	7
gene:AT2G16460	2	7133387	7135812	-	2426	69
gene:AT2G16485	2	7136845	7145424	-	8580	796
gene:AT2G16490	2	7146000	7147981	-	1982	0
gene:AT2G16500	2	7150514	7153430	-	2917	1118
gene:AT2G16505	2	7156839	7157770	-	932	0
gene:AT2G16510	2	7158991	7160934	-	1944	308
gene:AT2G16520	2	7161922	7162580	-	659	0
gene:AT2G16530	2	7162931	7165410	-	2480	45
gene:AT2G16535	2	7165834	7166499	-	666	0
gene:AT2G16570	2	7180142	7182287	-	2146	96
gene:AT2G16580	2	7184422	7187009	-	2588	15
gene:AT2G16575	2	7184652	7185245	+	594	0
gene:AT2G16586	2	7190937	7192071	+	1135	6
gene:AT2G16592	2	7196147	7196777	+	631	0
